word,frequency
tear,3
building,3
woman,2
god,1
coal,1
gained,1
samson's,2
looked,2
climbed,1
knee,1
strength,2
spoke,1
talked,1
samson,6
cut,1
shave,1
natural,1
birth,1
strongest,1
lived,1
walking,1
ground,1
jaw,2
bone,1
stretched,1
chains,1
broke,1
threads,1
move,1
thousand,1
attack,1
walked,1
lion's,3
back,1
killed,2
paw,1
hands,1
ripped,1
beast,1
bees,1
